psnr,ssim,color_diff,cer,epi,dust_level,processing_time,filename,psnr_fixed
inf,1.0,0.0,0.9999999585041223,1.0,0,0.010085105895996094,img_104.jpg,50.0
inf,1.0,0.0,0.9999999700742108,1.0,0,0.007726192474365234,img_149.jpg,50.0
inf,1.0,0.0,0.9999999318546575,1.0,0,0.007071256637573242,img_59.jpg,50.0
inf,1.0,0.0,0.9999999613511548,1.0,0,0.007580995559692383,img_239.jpg,50.0
inf,1.0,0.0,0.9999999410734954,1.0,0,0.007238864898681641,img_74.jpg,50.0
inf,1.0,0.0,0.9999999599637605,1.0,0,0.008415937423706055,img_89.jpg,50.0
inf,1.0,0.0,0.9999999658273693,1.0,0,0.007869958877563477,img_164.jpg,50.0
inf,1.0,0.0,0.9999999477703964,1.0,0,0.007112979888916016,img_209.jpg,50.0
inf,1.0,0.0,0.9999999479749704,1.0,0,0.007262229919433594,img_194.jpg,50.0
inf,1.0,0.0,0.9999999131085264,1.0,0,0.0071370601654052734,img_44.jpg,50.0
inf,1.0,0.0,0.9999999601134963,1.0,0,0.007783174514770508,img_224.jpg,50.0
inf,1.0,0.0,0.9999999606454819,1.0,0,0.007624149322509766,img_179.jpg,50.0
inf,1.0,0.0,0.9999999683361135,1.0,0,0.008155107498168945,img_134.jpg,50.0
inf,1.0,0.0,0.9999999630088473,1.0,0,0.007674217224121094,img_119.jpg,50.0
28.598166450010435,0.7740375802051804,21.767096392717278,1.2359077315379388,0.47861568686716033,1,0.023173093795776367,189.png,28.598166450010435
29.19879084882268,0.7869349789142275,17.198747084513272,1.3351097992886547,0.34354108259650634,1,0.01769089698791504,63.png,29.19879084882268
28.55866329651719,0.7646293537299745,22.86004971920973,1.3551221068532728,0.42704266088214027,1,0.018667936325073242,200.png,28.55866329651719
28.482771271845124,0.7657131028805173,23.73835086012968,1.4035141683859287,0.36059877038225074,1,0.017869949340820312,214.png,28.482771271845124
28.483501667211083,0.7654958706016026,23.363758335469,1.356881274260918,0.3773636991028295,1,0.01754307746887207,215.png,28.483501667211083
28.54250617656107,0.761795905901209,22.941330500071317,1.370880759052887,0.40911094783247615,1,0.01821732521057129,201.png,28.54250617656107
29.17168591438084,0.7876677051736698,17.110082841540585,1.3290504065285444,0.3452886247877759,1,0.01758289337158203,62.png,29.17168591438084
28.61781885383683,0.7732422830286032,21.62772798321183,1.2315632297346355,0.45639987542821553,1,0.018522024154663086,188.png,28.61781885383683
28.88673279199365,0.7925631049429243,18.681042406905593,1.2404871589984938,0.5507571508693214,1,0.018065929412841797,149.png,28.88673279199365
29.169207812948162,0.7876745144037346,16.99790652631724,1.3007488817512978,0.32768481253971615,1,0.01802802085876465,60.png,29.169207812948162
28.485675692892887,0.7677816392299752,22.936597875746404,1.2614016213681953,0.34600402955003356,1,0.017817974090576172,217.png,28.485675692892887
28.535528253085012,0.7585885277818788,22.899757841514575,1.3584738473619922,0.43040652863835577,1,0.018110036849975586,203.png,28.535528253085012
28.547927571135276,0.7607399546319323,22.9304956837487,1.3706605936428324,0.44687356673291545,1,0.01830315589904785,202.png,28.547927571135276
28.484519882895615,0.7647731696104904,23.135782955655596,1.314124318384848,0.3575441962450322,1,0.018710613250732422,216.png,28.484519882895615
29.1648625349363,0.7874501492411708,17.107294833069478,1.3217521582488971,0.35057227638830013,1,0.01905679702758789,61.png,29.1648625349363
28.873380239572665,0.7914833037117067,18.61521742862668,1.2245899416607011,0.48267898383371827,1,0.01879405975341797,148.png,28.873380239572665
29.185713538445405,0.7871686348118755,17.088414460627984,1.2976852952969822,0.3692139737991266,1,0.017879962921142578,59.png,29.185713538445405
29.1674606378176,0.7859781242983859,17.05508357031007,1.3336678034857241,0.3296137339055794,1,0.01777791976928711,65.png,29.1674606378176
28.48832237508221,0.7654911337857223,23.876104475814447,1.4184722515397687,0.40013755158184316,1,0.01857161521911621,212.png,28.48832237508221
28.51688938461073,0.7596495637877987,23.299922638132564,1.3869258277379506,0.425544794188862,1,0.018429040908813477,206.png,28.51688938461073
28.504089356422696,0.760473369582206,23.13246638193263,1.35576260369442,0.44310943833236827,1,0.018445968627929688,207.png,28.504089356422696
28.47946948729755,0.7670581749478375,23.71307999816458,1.4128934067130514,0.35574689080224137,1,0.018186092376708984,213.png,28.47946948729755
29.163419944903918,0.7869088898261638,17.130255708941352,1.3260094051634208,0.3407342273027039,1,0.017652034759521484,64.png,29.163419944903918
29.177829971628483,0.7869208443424012,17.206356905579202,1.3063396682607977,0.3672546359113523,1,0.019539833068847656,58.png,29.177829971628483
28.55089638559177,0.7667777650715125,22.850592770120084,1.3302983559873771,0.43134283116095784,1,0.02011585235595703,198.png,28.55089638559177
29.145276840806332,0.7851124451624731,16.984234405006347,1.3078966397913172,0.31945624468988953,1,0.01898193359375,66.png,29.145276840806332
28.516221443155423,0.7584582256534542,23.271929294371535,1.3926062023823504,0.4408217954443948,1,0.01883983612060547,205.png,28.516221443155423
28.457569445026177,0.7643818797831435,24.02373775620929,1.4162312366159977,0.399949051076296,1,0.01851177215576172,211.png,28.457569445026177
28.47795997963952,0.7663448520516607,23.755435026989094,1.3979489297394312,0.4196222312814241,1,0.018845081329345703,210.png,28.47795997963952
28.528571995453404,0.7578861990948703,23.080717147391717,1.379327755815582,0.43207519459538846,1,0.019176959991455078,204.png,28.528571995453404
28.555611941170156,0.7659451411251105,22.757507316499183,1.3324776975078618,0.4525709219858156,1,0.01934671401977539,199.png,28.555611941170156
28.99734584139678,0.7874851023201194,18.216740028868294,1.2835807642267998,0.5232364376967228,1,0.018459320068359375,129.png,28.99734584139678
